CourseID,Enrollment_Count,Course_Revenue,CourseName,CourseCategory,CourseType,CourseLevel,CoursePrice,CourseDuration,CourseRating,Avg_Teacher_Experience,Avg_Teacher_Rating,Number_of_Teachers,Price_Band,Duration_Bucket,Rating_Tier,Experience_Bucket,CourseLevel_Encoded,Teacher_Rating_Score,Expertise_Match_Score,Revenue_Per_Enrollment
CR00013,170,0.0,Finance for Startups,Business,Free,Advanced,0.0,15.84,2.0,9.15,3.8954999999999993,20,Free,Short,Low,Medium Experience,2,3.8954999999999993,0.1,0.0
CR00014,171,0.0,Sales Mastery,Business,Free,Advanced,0.0,22.29,3.15,8.777777777777779,3.8666666666666663,18,Free,Medium,Medium,Medium Experience,2,3.8666666666666663,0.1111111111111111,0.0
CR00015,168,47888.4,Leadership Essentials,Business,Paid,Beginner,285.05,34.78,1.96,10.0,3.877368421052631,19,High,Medium,Low,Medium Experience,0,3.877368421052631,0.10526315789473684,285.05
CR00016,153,0.0,Digital Marketing,Marketing,Free,Intermediate,0.0,42.68,4.72,5.366666666666666,2.6653333333333338,30,Free,Long,High,Medium Experience,1,2.6653333333333338,0.03333333333333333,0.0
CR00017,158,0.0,SEO Mastery,Marketing,Free,Advanced,0.0,29.37,4.79,6.357142857142857,2.821785714285715,28,Free,Medium,High,Medium Experience,2,2.821785714285715,0.03571428571428571,0.0
CR00018,163,0.0,Social Media Marketing,Marketing,Free,Advanced,0.0,15.44,2.01,6.107142857142857,2.8267857142857147,28,Free,Short,Low,Medium Experience,2,2.8267857142857147,0.03571428571428571,0.0
CR00019,177,0.0,Content Marketing,Marketing,Free,Advanced,0.0,18.0,2.98,6.107142857142857,2.7471428571428573,28,Free,Medium,Medium,Medium Experience,2,2.7471428571428573,0.03571428571428571,0.0
CR00020,155,0.0,Email Marketing,Marketing,Free,Intermediate,0.0,46.25,4.11,6.2,2.7356,25,Free,Long,High,Medium Experience,1,2.7356,0.04,0.0
CR00021,196,0.0,Data Analysis with Python,Data Science,Free,Intermediate,0.0,1.2,3.6,10.857142857142858,3.5285714285714285,7,Free,Short,Medium,High Experience,1,3.5285714285714285,0.7142857142857143,0.0
CR00022,177,0.0,Data Visualization,Data Science,Free,Beginner,0.0,32.64,3.65,10.857142857142858,3.5285714285714285,7,Free,Medium,Medium,High Experience,0,3.5285714285714285,0.7142857142857143,0.0
CR00023,185,0.0,Machine Learning Fundamentals,Data Science,Free,Intermediate,0.0,9.71,3.02,10.857142857142858,3.5285714285714285,7,Free,Short,Medium,High Experience,1,3.5285714285714285,0.7142857142857143,0.0
CR00024,166,19534.88,Big Data Analytics,Data Science,Paid,Advanced,117.68,48.09,2.57,10.857142857142858,3.5285714285714285,7,Low,Long,Medium,High Experience,2,3.5285714285714285,0.7142857142857143,117.68
CR00025,192,57517.44,Statistical Analysis,Data Science,Paid,Beginner,299.57,48.32,3.74,10.857142857142858,3.5285714285714285,7,High,Long,Medium,High Experience,0,3.5285714285714285,0.7142857142857143,299.57
CR00026,172,0.0,Intro to Machine Learning,Machine Learning,Free,Intermediate,0.0,47.7,4.73,4.388888888888889,2.872777777777778,18,Free,Long,High,Low Experience,1,2.872777777777778,0.2777777777777778,0.0
CR00027,152,0.0,Neural Networks,Machine Learning,Free,Advanced,0.0,9.3,1.81,4.705882352941177,2.643529411764706,17,Free,Short,Low,Low Experience,2,2.643529411764706,0.29411764705882354,0.0
CR00028,171,133.38,Deep Learning,Machine Learning,Paid,Advanced,0.78,44.96,3.89,3.9523809523809526,2.6514285714285712,21,Low,Long,High,Low Experience,2,2.6514285714285712,0.23809523809523808,0.78
CR00029,155,0.0,Natural Language Processing,Machine Learning,Free,Beginner,0.0,16.33,1.13,4.15,2.644,20,Free,Short,Low,Low Experience,0,2.644,0.25,0.0
CR00030,169,0.0,Reinforcement Learning,Machine Learning,Free,Intermediate,0.0,38.49,1.73,4.142857142857143,2.6404761904761904,21,Free,Medium,Low,Low Experience,1,2.6404761904761904,0.23809523809523808,0.0
CR00031,160,0.0,Network Security,Cybersecurity,Free,Intermediate,0.0,26.52,1.91,8.0,3.468888888888889,9,Free,Medium,Low,Medium Experience,1,3.468888888888889,1.0,0.0
CR00032,163,0.0,Ethical Hacking,Cybersecurity,Free,Advanced,0.0,16.74,2.38,8.0,3.468888888888889,9,Free,Medium,Low,Medium Experience,2,3.468888888888889,1.0,0.0
CR00033,167,0.0,Cybersecurity Fundamentals,Cybersecurity,Free,Intermediate,0.0,48.25,3.93,8.0,3.468888888888889,9,Free,Long,High,Medium Experience,1,3.468888888888889,1.0,0.0
CR00034,150,59139.0,Data Encryption,Cybersecurity,Paid,Intermediate,394.26,47.44,1.35,8.0,3.468888888888889,9,High,Long,Low,Medium Experience,1,3.468888888888889,1.0,394.26
CR00035,179,0.0,Cyber Threat Intelligence,Cybersecurity,Free,Beginner,0.0,42.59,4.94,8.0,3.468888888888889,9,Free,Long,High,Medium Experience,0,3.468888888888889,1.0,0.0
CR00036,177,0.0,Agile Project Management,Project Management,Free,Beginner,0.0,15.75,4.68,10.857142857142858,3.2671428571428573,7,Free,Short,High,High Experience,0,3.2671428571428573,0.7142857142857143,0.0
CR00037,153,0.0,Scrum Essentials,Project Management,Free,Intermediate,0.0,33.93,3.45,10.857142857142858,3.2671428571428573,7,Free,Medium,Medium,High Experience,1,3.2671428571428573,0.7142857142857143,0.0
CR00038,158,54132.380000000005,Risk Management,Project Management,Paid,Intermediate,342.61,17.14,4.84,10.857142857142858,3.2671428571428573,7,High,Medium,High,High Experience,1,3.2671428571428573,0.7142857142857143,342.61
CR00039,167,57900.57,Project Planning,Project Management,Paid,Advanced,346.71,3.42,1.23,10.857142857142858,3.2671428571428573,7,High,Short,Low,High Experience,2,3.2671428571428573,0.7142857142857143,346.71
CR00040,174,57070.26,Leadership in Projects,Project Management,Paid,Beginner,327.99,12.13,1.51,10.857142857142858,3.2671428571428573,7,High,Short,Low,High Experience,0,3.2671428571428573,0.7142857142857143,327.99
CR00041,166,8940.76,Financial Accounting,Finance,Paid,Beginner,53.86,47.08,2.47,9.625,3.6425,8,Low,Long,Low,Medium Experience,0,3.6425,0.75,53.86
CR00042,183,0.0,Investment Strategies,Finance,Free,Intermediate,0.0,34.83,4.1,9.625,3.6425,8,Free,Medium,High,Medium Experience,1,3.6425,0.75,0.0
CR00043,182,0.0,Corporate Finance,Finance,Free,Beginner,0.0,31.77,4.14,9.625,3.6425,8,Free,Medium,High,Medium Experience,0,3.6425,0.75,0.0
CR00044,161,19165.440000000002,Personal Finance,Finance,Paid,Intermediate,119.04,23.41,2.75,10.0,3.69,7,Low,Medium,Medium,Medium Experience,1,3.69,0.7142857142857143,119.04000000000002
CR00045,172,0.0,Financial Modeling,Finance,Free,Advanced,0.0,6.36,1.59,9.625,3.6425,8,Free,Short,Low,Medium Experience,2,3.6425,0.75,0.0
CR00046,140,34734.0,AI for Beginners,Artificial Intelligence,Paid,Beginner,248.1,9.4,1.2,9.75,3.5737499999999995,8,High,Short,Low,Medium Experience,0,3.5737499999999995,0.75,248.1
CR00047,166,14871.94,Natural Language Processing,Artificial Intelligence,Paid,Intermediate,89.59,1.55,2.68,9.75,3.5737499999999995,8,Low,Short,Medium,Medium Experience,1,3.5737499999999995,0.75,89.59
CR00048,186,0.0,AI Ethics,Artificial Intelligence,Free,Beginner,0.0,42.7,3.64,9.75,3.5737499999999995,8,Free,Long,Medium,Medium Experience,0,3.5737499999999995,0.75,0.0
CR00049,163,67728.13,Deep Learning,Artificial Intelligence,Paid,Intermediate,415.51,28.33,3.11,9.75,3.5737499999999995,8,High,Medium,Medium,Medium Experience,1,3.5737499999999995,0.75,415.51000000000005
CR00050,174,85416.59999999999,Computer Vision,Artificial Intelligence,Paid,Beginner,490.9,7.55,4.55,9.75,3.5737499999999995,8,High,Short,High,Medium Experience,0,3.5737499999999995,0.75,490.9
CR00051,171,6479.1900000000005,HTML & CSS,Web Development,Paid,Advanced,37.89,24.11,1.3,7.3,3.2089999999999996,20,Low,Medium,Low,Medium Experience,2,3.2089999999999996,0.25,37.89
CR00052,154,0.0,JavaScript Mastery,Web Development,Free,Beginner,0.0,40.76,2.2,7.8,3.214,15,Free,Long,Low,Medium Experience,0,3.214,0.3333333333333333,0.0
CR00053,163,0.0,React for Beginners,Web Development,Free,Advanced,0.0,40.07,2.67,8.588235294117647,3.224705882352941,17,Free,Long,Medium,Medium Experience,2,3.224705882352941,0.29411764705882354,0.0
CR00054,178,0.0,Backend Development with Node.js,Web Development,Free,Beginner,0.0,48.57,3.32,7.619047619047619,3.244285714285714,21,Free,Long,Medium,Medium Experience,0,3.244285714285714,0.23809523809523808,0.0
CR00055,178,10202.960000000001,Full-Stack Web Development,Web Development,Paid,Advanced,57.32,43.95,4.74,7.111111111111111,3.216666666666667,18,Low,Long,High,Medium Experience,2,3.216666666666667,0.2777777777777778,57.32000000000001
CR00056,148,31433.719999999998,Google Ads Mastery,Digital Marketing,Paid,Advanced,212.39,22.89,3.15,8.0,3.315384615384615,13,High,Medium,Medium,Medium Experience,2,3.315384615384615,0.8461538461538461,212.39
CR00057,140,24827.600000000002,SEO for E-commerce,Digital Marketing,Paid,Advanced,177.34,49.73,3.89,8.0,3.315384615384615,13,Low,Long,High,Medium Experience,2,3.315384615384615,0.8461538461538461,177.34
CR00058,194,0.0,Social Media Strategy,Digital Marketing,Free,Beginner,0.0,1.46,4.44,8.0,3.315384615384615,13,Free,Short,High,Medium Experience,0,3.315384615384615,0.8461538461538461,0.0
CR00059,161,0.0,Affiliate Marketing,Digital Marketing,Free,Intermediate,0.0,5.95,4.66,8.416666666666666,3.3074999999999997,12,Free,Short,High,Medium Experience,1,3.3074999999999997,0.8333333333333334,0.0
CR00060,165,0.0,Content Creation,Digital Marketing,Free,Beginner,0.0,8.95,2.14,8.0,3.315384615384615,13,Free,Short,Low,Medium Experience,0,3.315384615384615,0.8461538461538461,0.0
